Student_ID,First_Name,Last_Name,Sex,Standard,DOB,Type
1,Josh,Lambert,M,4,04-04-2011,S
2,Kieth,Bradley,M,7,02-12-2007,S
3,Rufus,Thorpe,M,7,31-08-2008,S
4,Chloe,Ripley,F,6,27-03-2009,S
5,Maya,Jenkins,F,6,25-03-2012,S
6,Domenic,Thomson,M,1,03-02-2013,S
7,Helen,Pratt,F,2,14-01-2004,S
8,Cameron,Addison,F,1,30-03-2014,S
9,Elijah,Gates,M,1,12-03-2008,S
10,Ron,Cowan,M,6,01-10-2018,S
11,Eden,James,F,9,04-08-2005,S
12,Karen,Hunt,F,11,21-09-2011,S
13,Nina,Thomas,F,3,28-07-2013,S
14,Marvin,Corbett,M,8,08-12-2015,S
15,Samantha,Farrell,F,7,07-05-2017,S
16,Chad,Hunter,M,10,02-05-2014,S
17,Carl,Ashley,M,5,05-11-2006,S
18,Remy,Brennan,F,9,22-06-2011,S
19,Leroy,Tyler,M,9,26-09-2004,S
20,Liam,Coates,M,3,25-06-2006,S
21,Anabel,Hope,F,6,07-09-2018,S
22,Stephanie,Turner,F,1,18-04-2006,S
23,Thea,Quinn,F,7,03-11-2011,S
24,Melania,Garner,F,10,05-09-2009,S
25,Luna,Heaton,F,9,31-03-2015,S
26,Mina,Hooper,F,9,17-08-2015,S
27,Gladys,Harrison,F,7,11-10-2016,S
28,Gabriel,Wilkinson,M,3,02-01-2010,S
29,Jazmin,Ianson,F,5,29-05-2011,S
30,Joseph,Jordan,M,8,24-01-2013,S
31,Mara,Wooldridge,F,10,03-05-2010,S
32,Hayden,Johnson,F,7,24-08-2008,S
33,Wade,Lindop,M,4,01-05-2010,S
34,Mackenzie,White,F,11,14-03-2014,S
35,Leilani,Lane,F,9,07-07-2018,S
36,Carmen,Fall,F,1,14-11-2008,S
37,Celina,Horton,F,6,25-10-2015,S
38,Sofia,Booth,F,6,11-01-2004,S
39,Daphne,Lynn,F,1,23-06-2015,S
