Teacher_ID,First_Name,Last_Name,Salary,Type,DOB,Sex
1,Samantha,Darcy,82247,T,24-06-1973,F
2,Ronald,Downing,72016,T,22-07-1967,M
3,Tom,Ebbs,70563,T,19-08-1976,M
4,Maxwell,Baxter,67194,T,12-04-1978,M
5,Marla,Shea,31856,T,14-07-1972,F
6,Aileen,Randall,35059,T,30-11-1977,F
7,Cameron,Mcgregor,40750,T,16-05-1995,F
8,Eve,Needham,25133,T,28-10-1973,F
9,Barney,Dobson,75817,T,17-06-1980,M
10,Chadwick,Anderson,25410,T,31-05-1971,M
11,Francesca,Turner,57088,T,24-04-1974,F
12,Shelby,Johnson,28354,T,14-07-1987,F
13,Rosalyn,Flynn,73156,T,13-02-1966,F
14,Ruth,Campbell,36353,T,24-05-1972,F
15,Dani,Fleming,66282,T,06-10-1990,F
16,Mya,Booth,82049,T,20-03-1984,F
17,Piper,Fields,86139,T,14-04-1983,F
18,Anthony,Thatcher,56499,T,03-07-1970,M
19,Maribel,Wright,80967,T,08-12-1979,F
20,Tyson,Nayler,82673,T,19-02-1982,M
21,Alan,Ellis,46530,T,13-07-1978,M
22,Mike,Chadwick,43849,T,27-09-1968,M
23,Michael,Hill,97050,T,06-11-1975,M
24,Barney,Ingram,88359,T,26-04-1982,M
25,Julian,Cowan,77089,T,03-11-1974,M
26,Benjamin,Booth,68088,T,09-08-1990,M
27,Jamie,Fulton,25964,T,06-03-1969,F
28,Livia,Bishop,64369,T,08-01-1993,F
29,Eduardo,Ripley,61395,T,23-04-1995,M
30,Hank,Vane,60535,T,30-05-1977,M
31,Harry,Mcgregor,46996,T,08-02-1986,M
32,Danielle,Brett,72292,T,05-08-1994,F
33,Tom,Ashley,65242,T,13-01-1966,M
34,Tony,Kelly,56673,T,05-05-1968,M
35,Tony,Bullock,89867,T,07-11-1968,M
36,Leroy,Nurton,37558,T,16-07-1991,M
37,Daniel,Attwood,80960,T,17-03-1977,M
38,Percy,Walsh,47457,T,24-04-1992,M
39,Valentina,Ainsworth,96741,T,16-06-1971,F
40,Renee,Yarwood,17441,T,14-12-1979,F
41,Tom,Norman,32897,T,05-11-1973,M
42,Chadwick,Weasley,78046,T,12-06-1981,M
43,Logan,Baldwin,53341,T,28-10-1990,M
44,Carol,Rogers,22379,T,28-07-1977,F
45,Tony,Samuel,21697,T,13-01-1981,M
46,Michaela,Porter,21371,T,05-02-1974,F
47,Lucas,Wilkinson,54080,T,04-06-1978,M
48,Winnie,Utterson,94526,T,20-11-1974,F
49,Vivian,Collis,62288,T,04-09-1993,F
50,Aisha,Slater,77015,T,17-12-1971,F
51,Grace,Bailey,51341,T,03-05-1969,F
52,Charlize,Rowlands,32075,T,01-12-1989,F
53,Penelope,Murray,90357,T,18-05-1971,F
54,Miriam,Reynolds,67427,T,14-10-1986,F
55,Caitlyn,Snell,82783,T,29-01-1990,F
56,Jackeline,Willson,58877,T,18-09-1970,F
57,Bernadette,Addison,70960,T,16-06-1987,F
58,Georgia,Owen,26153,T,26-07-1980,F
59,Catherine,Stone,12601,T,04-05-1980,F
60,Anabel,Stewart,20040,T,19-02-1981,F
61,Rhea,Jordan,99752,T,16-08-1983,F
62,Johnny,Waterson,40129,T,04-09-1976,M
63,Noah,Blackwall,95659,T,11-02-1977,M
64,Rae,Barclay,23205,T,13-10-1977,F
65,Sage,Duvall,12406,T,23-05-1983,F
66,Bree,Gardner,78093,T,13-05-1971,F
67,Meredith,Rodwell,42014,T,07-02-1967,F
68,Iris,Donnelly,84448,T,15-02-1978,F
69,Enoch,Silva,76586,T,28-09-1983,M
70,Kendra,Harper,75636,T,10-06-1977,F
71,Oliver,Pitt,13153,T,08-02-1968,M
72,Ronald,Alldridge,62854,T,06-03-1991,M
73,Danny,Hepburn,64425,T,27-05-1970,M
74,Enoch,Khan,77364,T,20-04-1975,M
75,Ally,Hobson,87706,T,04-05-1971,F
76,Doug,Henderson,78192,T,12-11-1992,M
77,Alison,Mould,90722,T,17-02-1971,F
78,Bryon,Glynn,89569,T,19-05-1967,M
79,Harvey,Morris,93677,T,24-06-1974,M
80,Benjamin,Radley,90123,T,08-03-1982,M
81,Carolyn,Webster,96631,T,07-09-1991,F
82,Joseph,Vince,12402,T,10-09-1975,M
83,Carol,Avery,65282,T,15-10-1966,F
84,Harvey,Torres,71422,T,04-10-1972,M
85,Cadence,Emmott,55687,T,31-12-1981,F
86,Tony,Foxley,24743,T,23-06-1979,M
87,Lucas,Long,36404,T,03-10-1980,M
88,Priscilla,Callan,36434,T,23-11-1970,F
89,Wendy,Russell,41884,T,09-08-1968,F
90,Victoria,Anderson,87638,T,03-10-1971,F
91,Chadwick,Rose,12487,T,04-04-1984,M
92,Ron,Fox,74985,T,20-01-1990,M
93,Alexander,Lowe,44291,T,12-08-1976,M
94,Fiona,Glass,37010,T,09-09-1970,F
95,Josh,Roth,55135,T,17-12-1980,M
96,Martin,Kelly,33780,T,17-02-1974,M
97,Logan,Wren,99309,T,05-08-1974,F
98,Maya,Drew,37156,T,11-12-1965,F
99,Luke,Pitt,21930,T,23-08-1987,M
100,Harvey,Groves,23087,T,12-09-1970,M
101,Eryn,Taylor,70461,T,27-02-1990,F
102,Lorraine,Gavin,45931,T,26-04-1993,F
103,Mandy,Swan,39909,T,10-01-1985,F
104,Amy,Driscoll,35421,T,06-02-1983,F
105,Elly,Whitmore,95874,T,16-10-1990,F
106,Georgia,Ingram,93542,T,09-09-1994,F
107,Louise,Healy,65022,T,07-01-1980,F
108,Drew,Martin,43135,T,03-03-1967,F
109,Cara,Baker,81353,T,23-09-1993,F
110,Percy,Vollans,96663,T,28-03-1994,M
111,Benjamin,Gibson,90367,T,10-06-1970,M
112,Liliana,Mcguire,71841,T,02-08-1994,F
113,Keira,Todd,25560,T,22-10-1979,F
114,Anthony,Rixon,60301,T,04-12-1969,M
115,Tania,Allwood,85857,T,15-11-1988,F
116,Erick,Williams,95169,T,07-03-1980,M
117,Erick,Addis,23307,T,31-08-1988,M
118,George,Underhill,11599,T,24-07-1971,M
119,Boris,Ramsey,89011,T,15-01-1976,M
120,Fred,Hooper,95948,T,19-05-1976,M
121,Chelsea,Flett,46427,T,04-11-1986,F
122,Sienna,Hopkins,27545,T,10-11-1992,F
123,Martin,Harrington,25154,T,06-06-1971,M
124,Danny,Redfern,61692,T,15-09-1983,M
125,Ally,Trent,62258,T,26-03-1974,F
126,Julius,Stubbs,44143,T,09-10-1969,M
127,Stella,Utterson,39357,T,08-10-1980,F
128,Aiden,Farrell,42762,T,05-02-1974,M
129,Angela,Bayliss,39369,T,08-10-1968,F
130,Rick,Norburn,46998,T,28-11-1986,M
